Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
R_8BL,Dorsolateral_Prefrontal,Default,11,43,48,0.34,0.62
R_PreS,Medial_Temporal,Default,20,-31,-10,0.22,0.55
L_PreS,Medial_Temporal,Default,-20,-31,-11,0.22,0.24
R_47m,Orbital_and_Polar_Frontal,Default,32,31,-18,0.18,0.3
L_p32pr,Anterior_Cingulate_and_Medial_Prefrontal,Cingulo-Opercular,-9,15,38,-0.15,0.1
R_p24,Anterior_Cingulate_and_Medial_Prefrontal,Cingulo-Opercular,4,35,17,-0.21,0.37
L_23c,Paracentral_Lobular_and_Mid_Cingulate,Cingulo-Opercular,-13,-30,42,-0.25,0.42
R_p24pr,Anterior_Cingulate_and_Medial_Prefrontal,Cingulo-Opercular,4,-4,41,-0.27,0.35
R_V6,Dorsal_Stream_Visual,Visual2,18,-77,31,0.22,0.22
R_V2,Early_Visual,Visual2,13,-78,4,0.19,0.15
R_V4,Early_Visual,Visual2,32,-84,-1,0.19,0.09
L_6d,Premotor,Somatomotor,-34,-14,66,-0.14,0.13
L_3b,Somatosensory_and_Motor,Somatomotor,-40,-23,52,-0.2,0.24
R_STV,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,59,-44,20,0.15,0.08
L_TPOJ3,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,-44,-72,20,-0.16,0.11
R_TPOJ1,Temporo-Parieto-Occipital_Junction,Language,54,-44,11,0.17,0.11
L_TPOJ1,Temporo-Parieto-Occipital_Junction,Language,-54,-46,9,-0.16,0.28
R_V1,Primary_Visual,Visual1,12,-81,2,0.14,0.09
R_POS2,Posterior_Cingulate,Frontoparietal,9,-70,37,0.29,0.37
L_PEF,Premotor,Dorsal_Attention,-47,0,41,-0.16,0.1
