Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
L_9m,Anterior_Cingulate_and_Medial_Prefrontal,Default,-7,54,22,0.54,0.53
L_47l,Inferior_Frontal,Default,-47,29,-12,0.48,0.38
R_TGd,Lateral_Temporal,Default,35,14,-37,0.41,0.38
L_PGi,Inferior_Parietal,Default,-49,-65,27,0.36,0.28
L_9p,Dorsolateral_Prefrontal,Default,-19,47,38,0.28,0.24
L_8BL,Dorsolateral_Prefrontal,Default,-11,38,52,0.27,0.19
R_TE1a,Lateral_Temporal,Default,58,0,-28,0.23,0.32
L_TGd,Lateral_Temporal,Default,-37,12,-37,0.23,0.1
L_a24,Anterior_Cingulate_and_Medial_Prefrontal,Default,-6,40,-5,0.19,0.23
R_8Av,Dorsolateral_Prefrontal,Default,39,20,49,0.19,0.22
L_7m,Posterior_Cingulate,Default,-6,-62,34,0.17,0.12
R_10v,Anterior_Cingulate_and_Medial_Prefrontal,Default,2,51,-19,0.16,0.16
R_STSda,Auditory_Association,Default,51,-1,-17,0.16,0.16
L_TE1a,Lateral_Temporal,Default,-60,-4,-25,0.15,0.11
R_PGi,Inferior_Parietal,Default,52,-60,30,0.14,0.13
R_47m,Orbital_and_Polar_Frontal,Default,32,31,-18,0.13,0.09
L_10d,Orbital_and_Polar_Frontal,Default,-11,66,6,0.13,0.12
L_47s,Orbital_and_Polar_Frontal,Default,-33,20,-21,0.1,0.12
L_31pd,Posterior_Cingulate,Default,-12,-52,35,0.1,0.1
L_OFC,Orbital_and_Polar_Frontal,Default,-11,30,-25,0.1,0.09
R_47l,Inferior_Frontal,Default,44,32,-15,0.09,0.08
R_9m,Anterior_Cingulate_and_Medial_Prefrontal,Default,6,55,19,0.09,0.09
L_STSvp,Auditory_Association,Default,-57,-35,-5,0.08,0.11
R_7m,Posterior_Cingulate,Default,5,-60,33,0.07,0.08
L_8Av,Dorsolateral_Prefrontal,Default,-38,17,53,0.07,0.05
L_TE1m,Lateral_Temporal,Default,-66,-25,-17,0.07,0.1
L_47m,Orbital_and_Polar_Frontal,Default,-37,31,-17,0.07,0.09
L_10v,Anterior_Cingulate_and_Medial_Prefrontal,Default,-5,54,-19,0.06,0.08
R_47s,Orbital_and_Polar_Frontal,Default,30,20,-21,0.06,0.08
R_10r,Anterior_Cingulate_and_Medial_Prefrontal,Default,5,47,-12,0.05,0.07
R_PHA1,Medial_Temporal,Default,20,-34,-17,0.05,0.08
R_8BL,Dorsolateral_Prefrontal,Default,11,43,48,0.04,0.08
L_10r,Anterior_Cingulate_and_Medial_Prefrontal,Default,-7,50,-13,0.04,0.08
R_STSva,Auditory_Association,Default,57,-8,-18,0.03,0.06
R_25,Anterior_Cingulate_and_Medial_Prefrontal,Default,3,18,-13,0.03,0.04
R_10d,Orbital_and_Polar_Frontal,Default,9,68,3,0.03,0.05
L_31pv,Posterior_Cingulate,Default,-10,-44,33,0.03,0.06
L_8Ad,Dorsolateral_Prefrontal,Default,-24,29,44,0.02,0.07
R_STSvp,Auditory_Association,Default,59,-28,-6,0.02,0.07
R_v23ab,Posterior_Cingulate,Default,4,-51,19,0.02,0.08
