Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
L_8BM,Anterior_Cingulate_and_Medial_Prefrontal,Frontoparietal,-6,33,44,0.69,0.44
L_AVI,Insular_and_Frontal_Opercular,Frontoparietal,-31,25,-4,0.43,0.37
L_a47r,Inferior_Frontal,Frontoparietal,-41,48,-13,0.3,0.32
R_31a,Posterior_Cingulate,Frontoparietal,6,-40,43,-0.3,0.28
R_p10p,Orbital_and_Polar_Frontal,Frontoparietal,23,61,1,-0.3,0.22
L_IFSa,Inferior_Frontal,Frontoparietal,-47,33,9,-0.58,0.49
L_9m,Anterior_Cingulate_and_Medial_Prefrontal,Default,-7,54,22,0.54,0.53
L_47l,Inferior_Frontal,Default,-47,29,-12,0.48,0.38
R_TGd,Lateral_Temporal,Default,35,14,-37,0.41,0.38
L_PGi,Inferior_Parietal,Default,-49,-65,27,0.36,0.28
L_9p,Dorsolateral_Prefrontal,Default,-19,47,38,0.28,0.24
L_8BL,Dorsolateral_Prefrontal,Default,-11,38,52,0.27,0.19
L_PFop,Inferior_Parietal,Cingulo-Opercular,-65,-23,24,0.24,0.08
L_p24,Anterior_Cingulate_and_Medial_Prefrontal,Cingulo-Opercular,-5,37,13,-0.25,0.23
R_PSL,Temporo-Parieto-Occipital_Junction,Cingulo-Opercular,64,-37,27,-0.69,0.47
R_6v,Premotor,Somatomotor,58,7,31,0.75,0.5
R_1,Somatosensory_and_Motor,Somatomotor,48,-22,54,-0.34,0.49
THALAMUS_RIGHT,,subcortex,,,,0.28,0.31
R_PCV,Posterior_Cingulate,Posterior_Multimodal,5,-52,50,-0.34,0.49
L_PHA3,Medial_Temporal,Dorsal_Attention,-34,-35,-21,-0.53,0.42
