Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
R_PEF,Premotor,Cingulo-Opercular,45,2,38,0.29,0.14
L_FEF,Premotor,Cingulo-Opercular,-43,-7,50,0.26,0.11
R_FEF,Premotor,Cingulo-Opercular,44,-3,51,0.2,0.08
R_PFcm,Early_Auditory,Cingulo-Opercular,48,-28,22,-0.19,0.12
R_p24,Anterior_Cingulate_and_Medial_Prefrontal,Cingulo-Opercular,4,35,17,-0.29,0.22
R_31pd,Posterior_Cingulate,Default,13,-51,35,-0.19,0.11
R_31pv,Posterior_Cingulate,Default,9,-43,33,-0.28,0.18
R_STSda,Auditory_Association,Default,51,-1,-17,-0.32,0.14
L_FFC,Ventral_Stream_Visual,Visual2,-44,-56,-19,-0.2,0.18
L_VMV1,Ventral_Stream_Visual,Visual2,-20,-52,-8,-0.34,0.19
R_3b,Somatosensory_and_Motor,Somatomotor,38,-20,51,0.2,0.15
L_5m,Paracentral_Lobular_and_Mid_Cingulate,Somatomotor,-7,-42,63,0.19,0.2
L_PCV,Posterior_Cingulate,Posterior_Multimodal,-6,-50,48,-0.19,0.11
R_STV,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,59,-44,20,-0.22,0.17
R_8BM,Anterior_Cingulate_and_Medial_Prefrontal,Frontoparietal,4,31,46,0.29,0.1
R_IFSp,Inferior_Frontal,Frontoparietal,45,30,17,0.26,0.11
R_LIPd,Superior_Parietal,Dorsal_Attention,30,-55,44,0.19,0.09
R_6a,Premotor,Dorsal_Attention,26,-2,53,0.18,0.14
R_pOFC,Anterior_Cingulate_and_Medial_Prefrontal,Orbito-Affective,12,13,-19,-0.2,0.14
L_IFSp,Inferior_Frontal,Language,-48,24,20,0.2,0.12
