Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
R_47m,Orbital_and_Polar_Frontal,Default,32,31,-18,-0.15,0.1
R_POS1,Posterior_Cingulate,Default,11,-57,15,-0.16,0.07
R_47l,Inferior_Frontal,Default,44,32,-15,-0.17,0.11
L_47m,Orbital_and_Polar_Frontal,Default,-37,31,-17,-0.2,0.13
L_FST,MT+_Complex_and_Neighboring_Visual_Areas,Visual2,-48,-68,5,0.19,0.12
R_VIP,Superior_Parietal,Visual2,21,-63,64,0.18,0.11
L_PIT,Ventral_Stream_Visual,Visual2,-47,-77,-11,-0.16,0.08
L_55b,Premotor,Language,-49,-1,50,0.17,0.09
L_SFL,Dorsolateral_Prefrontal,Language,-8,17,63,0.15,0.06
R_45,Inferior_Frontal,Language,50,27,0,-0.18,0.11
R_p9-46v,Dorsolateral_Prefrontal,Frontoparietal,46,33,25,0.18,0.1
R_IFJp,Inferior_Frontal,Frontoparietal,36,7,28,0.17,0.11
R_i6-8,Dorsolateral_Prefrontal,Frontoparietal,32,9,57,0.15,0.09
DIENCEPHALON_VENTRAL,,subcortex,,,,0.18,0.09
L_ProS,Posterior_Cingulate,Visual1,-23,-55,3,0.15,0.1
L_FOP2,Insular_and_Frontal_Opercular,Somatomotor,-44,-5,14,-0.17,0.11
R_TPOJ2,Temporo-Parieto-Occipital_Junction,Posterior_Multimodal,56,-57,10,-0.15,0.08
R_AAIC,Insular_and_Frontal_Opercular,Orbito-Affective,35,15,-12,0.15,0.08
R_6a,Premotor,Dorsal_Attention,26,-2,53,0.16,0.08
R_TA2,Auditory_Association,Auditory,50,4,-8,-0.16,0.07
