Glasser ROI,Brain Region,Network,x-MNI,y-MNI,z-MNI,Mean Coeff,σ Coeff
R_STSda,Auditory_Association,Default,51,-1,-17,0.74,0.65
R_STSva,Auditory_Association,Default,57,-8,-18,0.28,0.23
R_7m,Posterior_Cingulate,Default,5,-60,33,0.26,0.17
R_PGi,Inferior_Parietal,Default,52,-60,30,0.11,0.08
L_PHA2,Medial_Temporal,Default,-31,-36,-14,0.11,0.23
L_IPS1,Dorsal_Stream_Visual,Visual2,-24,-74,38,-0.08,0.11
L_V3CD,MT+_Complex_and_Neighboring_Visual_Areas,Visual2,-35,-90,9,-0.1,0.13
R_LO1,MT+_Complex_and_Neighboring_Visual_Areas,Visual2,43,-81,5,-0.12,0.2
L_V3B,Dorsal_Stream_Visual,Visual2,-28,-83,16,-0.4,0.48
R_SFL,Dorsolateral_Prefrontal,Language,7,16,65,0.24,0.32
R_TPOJ1,Temporo-Parieto-Occipital_Junction,Language,54,-44,11,0.17,0.12
R_45,Inferior_Frontal,Language,50,27,0,0.15,0.11
R_STSdp,Auditory_Association,Language,48,-28,-2,0.09,0.1
L_7Pm,Superior_Parietal,Frontoparietal,-5,-68,49,0.1,0.15
R_p9-46v,Dorsolateral_Prefrontal,Frontoparietal,46,33,25,-0.08,0.09
R_TE1m,Lateral_Temporal,Frontoparietal,64,-24,-19,-0.08,0.17
R_p10p,Orbital_and_Polar_Frontal,Frontoparietal,23,61,1,-0.11,0.16
R_5L,Paracentral_Lobular_and_Mid_Cingulate,Somatomotor,13,-48,74,-0.09,0.11
L_PFt,Inferior_Parietal,Dorsal_Attention,-56,-25,35,-0.14,0.15
R_9-46d,Dorsolateral_Prefrontal,Cingulo-Opercular,29,51,22,-0.1,0.16
