,Mean Coeff,σ Coeff
Left-Cerebellum-Cortex,1.3737425032614081,0.8943405331679485
Left-Hippocampus,0.677279388728409,0.3206395239927561
Brain-Stem,-0.5421675968451339,0.41847615502055713
Left-Thalamus-Proper,0.3828001000161624,0.36908236301466374
Left-Pallidum,-0.29184480731431073,0.24117179978035008
Right-Hippocampus,0.2761904345761752,0.3014830120243242
Left-Caudate,0.265719984486116,0.2013526587999846
Right-Caudate,0.20291163249637936,0.19261557481666824
Right-Cerebellum-Cortex,0.2028915980708972,0.22484124718683207
Left-Putamen,-0.18121272362764212,0.1614216217242847
Right-Thalamus-Proper,-0.16795435192904112,0.24265733283728602
Right-Accumbens-area,-0.11969783776416949,0.15378268604245227
Right-Amygdala,0.114715668187329,0.19145959838933096
Left-Amygdala,0.11385633352455793,0.15753746128339666
Right-VentralDC,0.0962065765674906,0.18693292751773166
Right-Pallidum,0.060957065066709185,0.1738177334889781
Right-Putamen,-0.05149151114188932,0.09858494864546022
Left-VentralDC,-0.04634044154947618,0.08592239983760046
Left-Accumbens-area,-0.039980541843825254,0.16172625514245453
