,Mean Coeff,σ Coeff
lh_G_temp_sup-Plan_polar,0.7842280725793656,0.5902376905336744
lh_G_rectus,-0.6437579454107744,0.35044976099360703
rh_Pole_temporal,0.6329339219095554,0.44786172361045296
lh_S_central,0.3580771282401798,0.22966131477202079
rh_G_precentral,0.34192540995234794,0.19433310046550656
lh_G_occipital_sup,0.29195114395999766,0.28214198249518646
lh_S_calcarine,0.28721513375834373,0.24396816453186707
lh_G_cuneus,0.24361684419911203,0.2759046255293613
rh_G_temp_sup-Plan_polar,0.23225632329861123,0.22216119197459958
lh_G_temporal_inf,0.22587908043388133,0.19586273361224096
lh_Pole_temporal,0.22128388104087063,0.13538480342691472
lh_G_and_S_cingul-Mid-Post,0.221187512539055,0.31520765336813555
lh_S_circular_insula_sup,-0.21550645190165932,0.303953311132911
lh_S_front_middle,0.21343675306020504,0.21473738826775077
rh_G_front_sup,0.20876827029002024,0.2366453479995311
rh_G_orbital,0.2038949004813449,0.13713513492083051
rh_G_and_S_occipital_inf,0.18552027902237447,0.19833028928400526
lh_G_and_S_paracentral,0.17816571959293698,0.2156710051543837
lh_S_oc-temp_med_and_Lingual,-0.17632220299533338,0.24849501559754208
lh_S_cingul-Marginalis,0.1628246517005782,0.18767463685706715
lh_G_temp_sup-G_T_transv,-0.14743044582175502,0.2637762233367077
lh_S_oc-temp_lat,0.14628747212582272,0.1517652784483884
rh_S_calcarine,0.13876701736176317,0.1725574146775248
rh_G_and_S_paracentral,-0.1317363003792666,0.18188477128656377
rh_G_and_S_cingul-Ant,-0.10595229525066005,0.20313403323149948
lh_S_subparietal,-0.10450252888129527,0.18622494654611987
lh_S_collat_transv_ant,0.1015447156902343,0.15602040828098304
lh_S_temporal_sup,-0.09928979060971416,0.1787649962284142
rh_S_temporal_inf,0.09759705583438018,0.11873174508488755
lh_G_precentral,0.09684024789116105,0.13328343878614157
rh_G_insular_short,-0.09311112395951346,0.16454414113723442
rh_G_temporal_middle,0.09227045893343261,0.13899021557785332
rh_S_central,0.09104935722808219,0.09580745813749665
lh_S_pericallosal,0.08920780948801996,0.13025033975940187
lh_G_Ins_lg_and_S_cent_ins,0.0872755528270479,0.22926605534823993
rh_G_rectus,-0.08704057962031639,0.16106583537885827
lh_G_front_inf-Opercular,-0.07784645418072955,0.1402132151063584
rh_G_cuneus,0.0718524456069897,0.11141412977890106
rh_G_and_S_frontomargin,0.07037344896721795,0.10523849385199974
lh_S_front_inf,0.06480371969614106,0.11007368819735514
rh_S_orbital_med-olfact,-0.06427307080250094,0.13469548135415566
lh_S_temporal_inf,0.06369917740444984,0.18016848119476556
lh_G_and_S_cingul-Mid-Ant,-0.0625092469344638,0.09011386626412654
rh_S_temporal_transverse,-0.06161525440462867,0.11258745718765088
lh_S_oc_sup_and_transversal,0.058962337054767826,0.14079666614487768
lh_S_orbital-H_Shaped,0.05808869091464552,0.1251577906000683
lh_G_front_inf-Triangul,0.05752335983720138,0.13157804766317147
rh_G_oc-temp_med-Lingual,0.056504957550780596,0.09506038382307032
lh_G_temporal_middle,0.05488068455451781,0.08855406862235166
rh_S_orbital-H_Shaped,0.054793396691064575,0.09892918936572327
rh_G_postcentral,0.052859999312472226,0.1495106558694614
rh_G_cingul-Post-dorsal,0.0522041286326297,0.08085005402399156
rh_S_subparietal,-0.051322434945465345,0.13694905984877007
lh_G_pariet_inf-Angular,0.05031651880252602,0.09541890673916549
lh_G_cingul-Post-ventral,-0.04984899400400807,0.14099424678224667
rh_S_circular_insula_inf,0.045157139680712714,0.06608894165023219
rh_G_precuneus,0.04395791555669357,0.12433176070785461
rh_Pole_occipital,0.04030794579693672,0.11400808723485499
lh_S_circular_insula_ant,0.03959828944214569,0.0768497810833028
rh_Lat_Fis-ant-Horizont,-0.0382700057152685,0.0881698161799339
rh_Lat_Fis-ant-Vertical,0.03769489167967568,0.06193594842200151
rh_G_temp_sup-Plan_tempo,-0.03638528637765602,0.07402887644149309
lh_G_front_middle,0.03625436756349725,0.0880064039639698
lh_S_oc_middle_and_Lunatus,0.03565080195042489,0.08782182124492588
rh_S_oc_sup_and_transversal,-0.03540779173802594,0.10014835857919661
rh_S_collat_transv_ant,0.03288935356719684,0.06480815779447621
lh_G_postcentral,-0.03286948829519237,0.09296895227064951
rh_G_front_middle,-0.032793692676938525,0.09275456988804341
lh_S_precentral-inf-part,0.032435432885336964,0.04575180820366068
rh_G_oc-temp_lat-fusifor,-0.031049763511726676,0.0628235046140514
rh_S_oc-temp_lat,-0.027906710933685373,0.07893209816728677
rh_S_front_sup,0.027180026102325824,0.050480313430527626
lh_Lat_Fis-ant-Vertical,-0.026935186933256076,0.0499071506512942
rh_G_occipital_sup,0.025978435879758552,0.045985785376014866
rh_S_precentral-sup-part,0.02480486405640705,0.0701587503227835
lh_S_precentral-sup-part,0.02480266254801246,0.0701525235167249
rh_G_front_inf-Orbital,-0.021701203503407988,0.061380272628676215
lh_S_temporal_transverse,0.020918320794196126,0.04745335765022053
rh_S_precentral-inf-part,0.020313654298817974,0.0574556908214938
lh_S_collat_transv_post,0.019086163675950774,0.042959248331659025
rh_G_subcallosal,0.018436502299432,0.05214630318915897
lh_S_circular_insula_inf,-0.018162523015088063,0.03840631705981306
lh_S_suborbital,0.018029993106344212,0.050996521560970794
lh_S_orbital_lateral,0.017571621722572425,0.05051095520468293
rh_G_and_S_subcentral,0.01739910797477721,0.04921210894224761
rh_S_interm_prim-Jensen,0.017373325939800476,0.04112260921540658
rh_S_orbital_lateral,-0.01693879878028415,0.062074217020600314
rh_G_oc-temp_med-Parahip,0.0166710728153987,0.043901968631418015
lh_G_and_S_cingul-Ant,0.01614964993141839,0.04567810792117922
rh_S_oc-temp_med_and_Lingual,0.015776883601173186,0.044623765521521586
lh_G_front_inf-Orbital,-0.015729944868862825,0.04449100273785377
rh_G_cingul-Post-ventral,0.015497786688502326,0.04383436024329041
rh_G_temporal_inf,0.015187945258300462,0.028814003255667298
