,Mean Coeff,σ Coeff
lh_G_temp_sup-Plan_polar,0.7842280725793656,0.5902376905336744
lh_G_rectus,-0.6437579454107744,0.35044976099360703
rh_Pole_temporal,0.6329339219095554,0.44786172361045296
lh_S_central,0.3580771282401798,0.22966131477202079
rh_G_precentral,0.34192540995234794,0.19433310046550656
lh_G_occipital_sup,0.29195114395999766,0.28214198249518646
lh_S_calcarine,0.28721513375834373,0.24396816453186707
lh_G_cuneus,0.24361684419911203,0.2759046255293613
rh_G_temp_sup-Plan_polar,0.23225632329861123,0.22216119197459958
lh_G_temporal_inf,0.22587908043388133,0.19586273361224096
lh_Pole_temporal,0.22128388104087063,0.13538480342691472
lh_G_and_S_cingul-Mid-Post,0.221187512539055,0.31520765336813555
lh_S_circular_insula_sup,-0.21550645190165932,0.303953311132911
lh_S_front_middle,0.21343675306020504,0.21473738826775077
rh_G_front_sup,0.20876827029002024,0.2366453479995311
rh_G_orbital,0.2038949004813449,0.13713513492083051
rh_G_and_S_occipital_inf,0.18552027902237447,0.19833028928400526
lh_G_and_S_paracentral,0.17816571959293698,0.2156710051543837
lh_S_oc-temp_med_and_Lingual,-0.17632220299533338,0.24849501559754208
lh_S_cingul-Marginalis,0.1628246517005782,0.18767463685706715
